Judge,R1,R2,R3,R4,R5,R6,R7
14,C44,C92,C79,D96,B64,B65,A50
17,C43,D58,D94,B30,D12,D24,D105
28,A74,D95,C111,A51,D47,C31,B53
20,C44,C19,A26,C101,B29,C91,C78
03,A15,D104,B18,A3,A74,B99,D22
10,A2,A73,D70,D115,C21,A27,C80
07,D83,B76,D81,D113,D23,B77,C9
27,B52,C33,B5,C32,B66,A84,D47
05,A85,A61,D58,B5,D35,C111,B28
30,B99,C43,D60,A75,D94,C9,NA
23,A1,B75ALT,C93,A63,B52,D59,A50
25,B54,B18,D82,C8,C31,D103,C111
06,D48,A3,C68,C110,C69,A2,C78
29,D96,D98,C21,D103,B6,D82,A62
22,D105,D10,C112,D114,A13,B28,A25
15,D11,B109,C79,B40,B97,B107,D95
11,C92,A25,A37,B89,C8,C102,C20
16,D36,C100,D11,D12,C80,C91,C102
18,A15,A49,C19,B108,D59,A51,D34
26,A37,B88,B42,B30,A63,C55,A62
04,C93,A86,B89,D71,B42,B6,B29
24,D46,B41,A39,B65,C7,A13,C20
32,A14,C69,C101,A39,A85,B4,NA
13,D72,A26,C110,B16,B87,D81,C55
21,B77,A1,D60,C45,B64,D83,D36
19,D34,D115,B109,B54,A84,C45,C7
02,C100,A75,B17,B97,D35,C67,B53
09,D104,B76,B16,C68,C32,A49,C56
31,C67,D70,D114,A61,D113,A38,NA
08,A86,D48,A73,D24,D72,B107,A38
00,B17,D71,D101,B41,C33,B88,D23
01,D98,B108,B87,C57,B75ALT,D22,C112
12,B40,D46,B4,A14,A27,C56,C57
